,message length,k,rep,tau fact.,order
0,0.01382905580035428,10,0,0.01,1
1,0.01074046367911655,10,0,0.01,2
2,0.01051568527343266,10,0,0.01,3
3,0.014316946808644815,10,0,0.01,4
4,0.890850370816562,10,0,0.1,1
5,0.8269627287326397,10,0,0.1,2
6,0.7579409851825115,10,0,0.1,3
7,0.6773906385831028,10,0,0.1,4
8,5.847550271489738,10,0,1.0,1
9,4.0719648598150515,10,0,1.0,2
10,3.4768785565012337,10,0,1.0,3
11,3.2053310598126217,10,0,1.0,4
12,5.704699545775836,10,0,10.0,1
13,5.704388718031218,10,0,10.0,2
14,5.703905358413906,10,0,10.0,3
15,5.702845610477456,10,0,10.0,4
16,0.014313701413744152,10,1,0.01,1
17,0.011221146950117463,10,1,0.01,2
18,0.011088113783302005,10,1,0.01,3
19,0.014770724122028511,10,1,0.01,4
20,0.9901098697208299,10,1,0.1,1
21,0.9226641904405082,10,1,0.1,2
22,0.8376812913018866,10,1,0.1,3
23,0.7483344809555019,10,1,0.1,4
24,5.932735117726148,10,1,1.0,1
25,4.146850111927887,10,1,1.0,2
26,3.5512367371478546,10,1,1.0,3
27,3.2819648207287258,10,1,1.0,4
28,5.704714415036273,10,1,10.0,1
29,5.704390006961979,10,1,10.0,2
30,5.7039018902422765,10,1,10.0,3
31,5.702844886182524,10,1,10.0,4
32,0.013030081656731977,10,2,0.01,1
33,0.010362369372192693,10,2,0.01,2
34,0.0105575782941477,10,2,0.01,3
35,0.013579806196855948,10,2,0.01,4
36,0.9918994696586412,10,2,0.1,1
37,0.9209291063644423,10,2,0.1,2
38,0.8539235833359399,10,2,0.1,3
39,0.7902291219493254,10,2,0.1,4
40,5.901575216477808,10,2,1.0,1
41,4.106012284123372,10,2,1.0,2
42,3.520003936069692,10,2,1.0,3
43,3.255226022165336,10,2,1.0,4
44,5.7048012128680945,10,2,10.0,1
45,5.704448383393522,10,2,10.0,2
46,5.7039128472975875,10,2,10.0,3
47,5.702784501745778,10,2,10.0,4
48,0.017479420705677998,10,3,0.01,1
49,0.014092482605742522,10,3,0.01,2
50,0.014246419100248436,10,3,0.01,3
51,0.0183505222400715,10,3,0.01,4
52,1.2520323089887002,10,3,0.1,1
53,1.1674961643504012,10,3,0.1,2
54,1.0608163828513433,10,3,0.1,3
55,0.9478204865809206,10,3,0.1,4
56,6.307284445529367,10,3,1.0,1
57,4.374072694803374,10,3,1.0,2
58,3.6911909828021767,10,3,1.0,3
59,3.3918322559180005,10,3,1.0,4
60,5.704365473094447,10,3,10.0,1
61,5.704144899484007,10,3,10.0,2
62,5.703849907687505,10,3,10.0,3
63,5.703221600532861,10,3,10.0,4
64,0.015159606247681028,10,4,0.01,1
65,0.012067958719191448,10,4,0.01,2
66,0.011699816409251773,10,4,0.01,3
67,0.015593899488314023,10,4,0.01,4
68,0.9898043081033963,10,4,0.1,1
69,0.9356713018264108,10,4,0.1,2
70,0.8609449627014505,10,4,0.1,3
71,0.7606666261580184,10,4,0.1,4
72,6.114350576611,10,4,1.0,1
73,4.189546673229561,10,4,1.0,2
74,3.552378438264479,10,4,1.0,3
75,3.2621613253456823,10,4,1.0,4
76,5.704468884457688,10,4,10.0,1
77,5.704240249756779,10,4,10.0,2
78,5.703876592000849,10,4,10.0,3
79,5.703096058044658,10,4,10.0,4
80,0.016599554710679382,10,5,0.01,1
81,0.013221262821624058,10,5,0.01,2
82,0.012935005116168092,10,5,0.01,3
83,0.01729708470745095,10,5,0.01,4
84,1.0936662932926857,10,5,0.1,1
85,1.0307714484642363,10,5,0.1,2
86,0.9355747308333943,10,5,0.1,3
87,0.8175722634692546,10,5,0.1,4
88,6.0665524339801085,10,5,1.0,1
89,4.230153762395988,10,5,1.0,2
90,3.5935548205643437,10,5,1.0,3
91,3.306459112241291,10,5,1.0,4
92,5.70439306689605,10,5,10.0,1
93,5.704158325006836,10,5,10.0,2
94,5.703855560752379,10,5,10.0,3
95,5.703181606708165,10,5,10.0,4
96,0.017094718599902636,10,6,0.01,1
97,0.013219467233956254,10,6,0.01,2
98,0.012971794384049815,10,6,0.01,3
99,0.01722139042596016,10,6,0.01,4
100,1.1740972446960396,10,6,0.1,1
101,1.0799187479700523,10,6,0.1,2
102,0.9688988007557986,10,6,0.1,3
103,0.8514976393646414,10,6,0.1,4
104,6.0595688960446905,10,6,1.0,1
105,4.239035801652794,10,6,1.0,2
106,3.618998804574317,10,6,1.0,3
107,3.3374447853132354,10,6,1.0,4
108,5.7045130143441805,10,6,10.0,1
109,5.704267801878609,10,6,10.0,2
110,5.703883007459851,10,6,10.0,3
111,5.703045263465141,10,6,10.0,4
112,0.011990195648793415,10,7,0.01,1
113,0.009559896957665768,10,7,0.01,2
114,0.009442167936087391,10,7,0.01,3
115,0.012210724729394329,10,7,0.01,4
116,0.9061137884887743,10,7,0.1,1
117,0.8588760652817304,10,7,0.1,2
118,0.8058390760293724,10,7,0.1,3
119,0.7404149357139271,10,7,0.1,4
120,5.790701501769388,10,7,1.0,1
121,4.002843330748544,10,7,1.0,2
122,3.4604313503503232,10,7,1.0,3
123,3.2127720829408024,10,7,1.0,4
124,5.704829344369846,10,7,10.0,1
125,5.70447608570465,10,7,10.0,2
126,5.70392203886471,10,7,10.0,3
127,5.702736910556249,10,7,10.0,4
128,0.014396739163274715,10,8,0.01,1
129,0.011414867157553918,10,8,0.01,2
130,0.01129831306103514,10,8,0.01,3
131,0.014933193587426175,10,8,0.01,4
132,0.9659900502892683,10,8,0.1,1
133,0.9075298017780324,10,8,0.1,2
134,0.8358673215516281,10,8,0.1,3
135,0.7525311540231732,10,8,0.1,4
136,6.2390373518067825,10,8,1.0,1
137,4.270835299068841,10,8,1.0,2
138,3.5926517158319715,10,8,1.0,3
139,3.280643875967943,10,8,1.0,4
140,5.704420035012097,10,8,10.0,1
141,5.704189485820854,10,8,10.0,2
142,5.703862065775344,10,8,10.0,3
143,5.703147180033777,10,8,10.0,4
144,0.014925545624257863,10,9,0.01,1
145,0.011652747265262747,10,9,0.01,2
146,0.011470799637396835,10,9,0.01,3
147,0.015068834109140283,10,9,0.01,4
148,1.0430726327067799,10,9,0.1,1
149,0.9806766513323004,10,9,0.1,2
150,0.8977554504139189,10,9,0.1,3
151,0.8012730169374471,10,9,0.1,4
152,6.029771458129648,10,9,1.0,1
153,4.195714889928992,10,9,1.0,2
154,3.586427012850299,10,9,1.0,3
155,3.309384727248816,10,9,1.0,4
156,5.704686703349261,10,9,10.0,1
157,5.704386398756692,10,9,10.0,2
158,5.7039041243123885,10,9,10.0,3
159,5.702892367753908,10,9,10.0,4
160,0.013185115459609561,10,10,0.01,1
161,0.010629790014734615,10,10,0.01,2
162,0.010744188710848672,10,10,0.01,3
163,0.013806887624354225,10,10,0.01,4
164,1.013080540678407,10,10,0.1,1
165,0.9506830052062158,10,10,0.1,2
166,0.8850403959095641,10,10,0.1,3
167,0.8141708495231672,10,10,0.1,4
168,5.934566022051396,10,10,1.0,1
169,4.102691601938511,10,10,1.0,2
170,3.5185796658247273,10,10,1.0,3
171,3.2604932328167653,10,10,1.0,4
172,5.704899751300899,10,10,10.0,1
173,5.704485197252338,10,10,10.0,2
174,5.7039151430037025,10,10,10.0,3
175,5.702712516507951,10,10,10.0,4
176,0.012898737925826766,10,11,0.01,1
177,0.010473330624676942,10,11,0.01,2
178,0.010453857299605048,10,11,0.01,3
179,0.013569063437071094,10,11,0.01,4
180,0.9665690696674838,10,11,0.1,1
181,0.9146574373930303,10,11,0.1,2
182,0.8489497930610926,10,11,0.1,3
183,0.7753998227352117,10,11,0.1,4
184,6.020669792285089,10,11,1.0,1
185,4.146532862334675,10,11,1.0,2
186,3.529875302993256,10,11,1.0,3
187,3.2548296042043847,10,11,1.0,4
188,5.7046317599196925,10,11,10.0,1
189,5.704348003923481,10,11,10.0,2
190,5.703897117939659,10,11,10.0,3
191,5.7029384183487295,10,11,10.0,4
192,0.013805402763064483,10,12,0.01,1
193,0.011083534029505687,10,12,0.01,2
194,0.01114943911974514,10,12,0.01,3
195,0.014416498090056074,10,12,0.01,4
196,1.0376573174514756,10,12,0.1,1
197,0.9756290187077803,10,12,0.1,2
198,0.9021107784704279,10,12,0.1,3
199,0.8243852477098619,10,12,0.1,4
200,6.016363115967476,10,12,1.0,1
201,4.137912502597748,10,12,1.0,2
202,3.5418255001321874,10,12,1.0,3
203,3.283483757430562,10,12,1.0,4
204,5.704730878108679,10,12,10.0,1
205,5.704401646265155,10,12,10.0,2
206,5.703903572937296,10,12,10.0,3
207,5.702848317595012,10,12,10.0,4
208,0.012961125717889389,10,13,0.01,1
209,0.010790417294580275,10,13,0.01,2
210,0.010788579911817692,10,13,0.01,3
211,0.013343859592879426,10,13,0.01,4
212,1.0971936346282103,10,13,0.1,1
213,1.0637780927105738,10,13,0.1,2
214,1.0094303205073474,10,13,0.1,3
215,0.9327783962588718,10,13,0.1,4
216,5.906761492909913,10,13,1.0,1
217,4.107525675931989,10,13,1.0,2
218,3.5646030259355945,10,13,1.0,3
219,3.330362030867574,10,13,1.0,4
220,5.70462687224764,10,13,10.0,1
221,5.704345688569061,10,13,10.0,2
222,5.703891926736314,10,13,10.0,3
223,5.702929190252923,10,13,10.0,4
224,0.016271828585345073,10,14,0.01,1
225,0.01310690198860169,10,14,0.01,2
226,0.013226383356234883,10,14,0.01,3
227,0.017180618232483624,10,14,0.01,4
228,1.1517815110459373,10,14,0.1,1
229,1.0734202552448164,10,14,0.1,2
230,0.9785670085388696,10,14,0.1,3
231,0.8735066830691016,10,14,0.1,4
232,6.305480275153294,10,14,1.0,1
233,4.371608197887173,10,14,1.0,2
234,3.6892244400015213,10,14,1.0,3
235,3.384270500793792,10,14,1.0,4
236,5.7043908664511,10,14,10.0,1
237,5.704174803758022,10,14,10.0,2
238,5.703861622260994,10,14,10.0,3
239,5.703191264907995,10,14,10.0,4
240,0.015951970904195298,10,15,0.01,1
241,0.012648687654265852,10,15,0.01,2
