,message length,k,rep,tau idx,order
0,1.986435989073665e-06,10,0,0,1
1,1.588509034592539e-06,10,0,0,2
2,1.5497556316058925e-06,10,0,0,3
3,2.113950838378287e-06,10,0,0,4
4,0.0018467783791901622,10,0,1,1
5,0.0014901641345380287,10,0,1,2
6,0.0014633732234818966,10,0,1,3
7,0.001964063318861342,10,0,1,4
8,1.2052588328177285,10,0,2,1
9,1.1465889723450475,10,0,2,2
10,1.0508030771643597,10,0,2,3
11,0.928742725814093,10,0,2,4
12,6.436408314568639,10,0,3,1
13,5.888470180428666,10,0,3,2
14,5.542642957038586,10,0,3,3
15,5.202181016372382,10,0,3,4
16,5.703782474656199,10,0,4,1
17,5.703782474656201,10,0,4,2
18,5.703782474656201,10,0,4,3
19,5.703782474656201,10,0,4,4
20,2.6901552815927765e-06,10,1,0,1
21,2.090958478778715e-06,10,1,0,2
22,2.0480523284654994e-06,10,1,0,3
23,2.7423424455719214e-06,10,1,0,4
24,0.002159583420176081,10,1,1,1
25,0.0016958111333196524,10,1,1,2
26,0.0016699783079307737,10,1,1,3
27,0.002202970746329136,10,1,1,4
28,1.2316607913720654,10,1,2,1
29,1.1695847887707937,10,1,2,2
30,1.0723639454049232,10,1,2,3
31,0.9545099783829452,10,1,2,4
32,6.3682911090234695,10,1,3,1
33,5.88049645851878,10,1,3,2
34,5.566770484444129,10,1,3,3
35,5.240215946268783,10,1,3,4
36,5.703782474656201,10,1,4,1
37,5.703782474656199,10,1,4,2
38,5.703782474656202,10,1,4,3
39,5.703782474656201,10,1,4,4
40,2.0211049016199967e-06,10,2,0,1
41,1.5902667448684793e-06,10,2,0,2
42,1.5508135148278868e-06,10,2,0,3
43,2.1186738923262283e-06,10,2,0,4
44,0.00175895737664232,10,2,1,1
45,0.001395612446504154,10,2,1,2
46,0.0013700666611735392,10,2,1,3
47,0.0018411838900007638,10,2,1,4
48,1.0706068418119241,10,2,2,1
49,1.0140699440526555,10,2,2,2
