,message length,m,rep,tau idx,order
0,5.060750912638801e-07,10,0,0,1
1,4.141516420017033e-07,10,0,0,2
2,4.7226169091682535e-07,10,0,0,3
3,7.26538104345309e-07,10,0,0,4
4,0.0006632152885194201,10,0,1,1
5,0.0005576536513749192,10,0,1,2
6,0.0006465825129503017,10,0,1,3
7,0.0009569043263235599,10,0,1,4
8,0.0976428048294331,10,0,2,1
9,0.10975108596348743,10,0,2,2
10,0.10471603636885353,10,0,2,3
11,0.09382680281675526,10,0,2,4
12,8.898160084984603,10,0,3,1
13,6.873195126040229,10,0,3,2
14,5.0213850531161945,10,0,3,3
15,3.2838138745205363,10,0,3,4
16,5.703782474656203,10,0,4,1
17,5.703782474656202,10,0,4,2
18,5.703782474656198,10,0,4,3
19,5.703782474656201,10,0,4,4
20,5.077250642519793e-07,10,1,0,1
21,4.1839550430147754e-07,10,1,0,2
22,4.84596653631264e-07,10,1,0,3
23,7.42609534754024e-07,10,1,0,4
24,0.0005620184105241659,10,1,1,1
25,0.0004752793409362587,10,1,1,2
26,0.000559317571258695,10,1,1,3
27,0.0008278733431978935,10,1,1,4
28,0.07715481371467697,10,1,2,1
29,0.08938836555675579,10,1,2,2
30,0.09050755790448825,10,1,2,3
31,0.08464518716222891,10,1,2,4
32,9.687090730328197,10,1,3,1
33,6.582992317486786,10,1,3,2
34,3.731026550307637,10,1,3,3
35,2.096074928946889,10,1,3,4
36,5.703782474656204,10,1,4,1
37,5.703782474656204,10,1,4,2
38,5.703782474656203,10,1,4,3
39,5.703782474656201,10,1,4,4
40,4.069709198632754e-07,10,2,0,1
41,3.309505966150872e-07,10,2,0,2
42,3.975992354729452e-07,10,2,0,3
43,5.98757616820933e-07,10,2,0,4
44,0.00046696237724033404,10,2,1,1
45,0.00039000100341965264,10,2,1,2
46,0.0004750379606426724,10,2,1,3
47,0.0006917605744005684,10,2,1,4
48,0.07482492114751753,10,2,2,1
49,0.0847433875900036,10,2,2,2
50,0.08628052949415986,10,2,2,3
51,0.08412617575506154,10,2,2,4
52,9.678264518890856,10,2,3,1
53,6.496294392809575,10,2,3,2
