,message length,p_shuffle,rep,tau fact.,order
0,0.004227948648864187,0.0,0,0.1,1
1,0.003149744329749106,0.0,0,0.1,2
2,0.002907436861332581,0.0,0,0.1,3
3,0.0044359060495962055,0.0,0,0.1,4
4,0.38692314057895366,0.0,0,1.0,1
5,0.31752122648056413,0.0,0,1.0,2
6,0.2891974791473963,0.0,0,1.0,3
7,0.3319753797582674,0.0,0,1.0,4
8,0.004227948648864187,0.0,1,0.1,1
9,0.003149744329749106,0.0,1,0.1,2
10,0.002907436861332581,0.0,1,0.1,3
11,0.0044359060495962055,0.0,1,0.1,4
12,0.38692314057895366,0.0,1,1.0,1
13,0.31752122648056413,0.0,1,1.0,2
14,0.2891974791473963,0.0,1,1.0,3
15,0.3319753797582674,0.0,1,1.0,4
16,0.004227948648864187,0.0,2,0.1,1
17,0.003149744329749106,0.0,2,0.1,2
18,0.002907436861332581,0.0,2,0.1,3
19,0.0044359060495962055,0.0,2,0.1,4
20,0.38692314057895366,0.0,2,1.0,1
21,0.31752122648056413,0.0,2,1.0,2
22,0.2891974791473963,0.0,2,1.0,3
23,0.3319753797582674,0.0,2,1.0,4
24,0.004227948648864187,0.0,3,0.1,1
25,0.003149744329749106,0.0,3,0.1,2
26,0.002907436861332581,0.0,3,0.1,3
27,0.0044359060495962055,0.0,3,0.1,4
28,0.38692314057895366,0.0,3,1.0,1
29,0.31752122648056413,0.0,3,1.0,2
30,0.2891974791473963,0.0,3,1.0,3
31,0.3319753797582674,0.0,3,1.0,4
32,0.004227948648864187,0.0,4,0.1,1
33,0.003149744329749106,0.0,4,0.1,2
34,0.002907436861332581,0.0,4,0.1,3
35,0.0044359060495962055,0.0,4,0.1,4
36,0.38692314057895366,0.0,4,1.0,1
37,0.31752122648056413,0.0,4,1.0,2
38,0.2891974791473963,0.0,4,1.0,3
39,0.3319753797582674,0.0,4,1.0,4
40,0.004227948648864187,0.0,5,0.1,1
41,0.003149744329749106,0.0,5,0.1,2
42,0.002907436861332581,0.0,5,0.1,3
43,0.0044359060495962055,0.0,5,0.1,4
44,0.38692314057895366,0.0,5,1.0,1
45,0.31752122648056413,0.0,5,1.0,2
46,0.2891974791473963,0.0,5,1.0,3
47,0.3319753797582674,0.0,5,1.0,4
48,0.004227948648864187,0.0,6,0.1,1
49,0.003149744329749106,0.0,6,0.1,2
50,0.002907436861332581,0.0,6,0.1,3
51,0.0044359060495962055,0.0,6,0.1,4
52,0.38692314057895366,0.0,6,1.0,1
53,0.31752122648056413,0.0,6,1.0,2
54,0.2891974791473963,0.0,6,1.0,3
55,0.3319753797582674,0.0,6,1.0,4
56,0.004227948648864187,0.0,7,0.1,1
57,0.003149744329749106,0.0,7,0.1,2
58,0.002907436861332581,0.0,7,0.1,3
